Dataset,Model,RMSE,MAE,MAPE,QLIKE,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations,realized_window,alpha,train_fraction
synthetic_regime_garch,"ARMA(1,1)-RGARCH-t",3.4899518114329795,0.9687273402330444,32.50857153523017,0.98548501192118,0.01,-2.5868118150200026,-4.186528751383714,0.0,0.0,0.2844267930190651,0.0,657,0,10,0.01,0.7
synthetic_regime_garch,RGARCH-t,3.585453374187796,0.9976435233599634,33.34487266767326,1.004415005521578,0.01,-2.530493012824769,-4.0953816941200945,0.0,0.0,0.2805740329422288,0.0,657,0,10,0.01,0.7
synthetic_regime_garch,"ARMA(1,1)-REGARCH-t",4.879872521810485,1.5573291035076031,60.242416207689885,1.0329634988996854,0.01,-3.0755381621641686,-4.977489613707583,0.0,0.0,0.3211474819360495,0.0,657,0,10,0.01,0.7
synthetic_regime_garch,REGARCH-t,5.399011908505369,1.460742329925937,59.92329463889171,1.1510975675148678,0.01,-2.633695060484176,-4.262405185051706,0.0,0.0,0.2892013210495157,0.0,657,0,10,0.01,0.7
synthetic_regime_garch,"FIGARCH(1,1)-t",5.921490522330926,2.02892566687575,84.34033676204211,5.328299779521305,0.01,-1.067218716841677,-1.727200183689422,0.0,0.0,0.1987911001726467,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"Generalized-GARCH(2,2)-t",5.921738289346534,2.029990702710049,85.56620064769986,5.866706411511758,0.01,-1.042953798592024,-1.6879295350429675,0.0,0.0,0.1995135150694705,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"GARCH(1,1)-t",5.922026950546613,2.0299499853782255,85.55184532730887,5.858688360329396,0.01,-1.043315047330291,-1.688514184541,0.0,0.0,0.1993296220283759,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"GARCH(2,1)-t",5.922029243865504,2.029950043790721,85.55182188515104,5.858690710948202,0.01,-1.043315394909961,-1.6885147470683064,0.0,0.0,0.1993297035529272,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"GARCH(1,2)-t",5.928265070321094,2.029981708357522,85.44416912647448,5.868653938759058,0.01,-1.0445991580582443,-1.6905924054812795,0.0,0.0,0.1976248605790515,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"GJR-GARCH(1,1)-t",5.946647492289058,2.038481696519604,85.72807709047666,5.912881006639616,0.01,-1.0324006074053826,-1.6708501177984705,0.0,0.0,0.1990507123342322,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"APGARCH/APARCH(2,1)-t",5.966272627052524,2.0449410636423804,85.8300892793733,5.988860767590184,0.01,-1.023579634484408,-1.656574144364913,0.0,0.0,0.198959441361457,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"APGARCH/APARCH(1,1)-t",5.9662774180693665,2.0449445070753316,85.83008078258985,5.988842410599602,0.01,-1.023575817815868,-1.6565679674205815,0.0,0.0,0.1989591240182897,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"EGARCH(1,1)-t",6.0454124602727655,2.0619597680002815,85.18811016761205,5.878185694552558,0.01,-1.020293380306575,-1.6512556293032574,0.0,0.0,0.1989723303775324,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"EGARCH(2,1)-t",6.054365685535886,2.063616119246564,85.171692073306,5.901489268219179,0.01,-1.018784326735798,-1.6488133580391655,0.0,0.0,0.1983985300067937,0.0,646,0,10,0.01,0.7
synthetic_regime_garch,"Threshold-GARCH(1,1)-t",6.132067502513743,2.09422088660203,85.63809885030118,6.564931356361201,0.01,-0.9659058156023322,-1.5632341110660313,0.001547987616099,0.001547987616099,0.1990536986679121,0.000867540443846,646,1,10,0.01,0.7
synthetic_sv_jump_t,Naive-RV,0.2164273477577877,0.0961494652317346,49.2732762236484,-0.592724124074372,0.01,-1.4778927596161993,-2.2021678425945015,0.0015220700152207,0.0015220700152207,0.1393771094263073,9.803249782569828e-05,657,1,10,0.01,0.7
synthetic_sv_jump_t,HAR-RV,0.2189061722760001,0.1068663130512021,58.5054305967755,1167056232.6763098,0.01,-1.4767904458101575,-2.20052531474509,0.0076103500761035,0.0076103500761035,0.1399483833105568,0.0006302961833225,657,5,10,0.01,0.7
synthetic_sv_jump_t,RGARCH-t,0.2557465343609961,0.1413276274371479,79.0469476182667,-0.5357684268300685,0.01,-1.4288866875203026,-2.129145226197438,0.0015220700152207,0.0015220700152207,0.1357274693028792,0.0003808151738827,657,1,10,0.01,0.7
synthetic_sv_jump_t,"EGARCH(2,1)-t",0.4151574009236439,0.2632227424926642,74.79675994521536,1.7017757679117236,0.01,-0.6738107827110703,-1.0040271379806316,0.0,0.0,0.087676894514002,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,"EGARCH(1,1)-t",0.415173886428878,0.2621776337292978,74.40000296091162,1.657316182969676,0.01,-0.6790120226263023,-1.011777364245978,0.0,0.0,0.086703692162232,0.0,646,0,10,0.01,0.7
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",0.4392823308679368,0.2654574416196646,65.28510006817427,1.1976712371496616,0.01,-0.7577818553130545,-1.1291501515342537,0.0045662100456621,0.0045662100456621,0.0977159709708872,0.0011452481462903,657,3,10,0.01,0.7
